component_id,label,plain_label,fy,amount_gbp,basis,parent_id,payer,source_id,source_title,source_url,source_licence,note
accommodation_support,"Accommodation and support (excluding unaccompanied children)","Housing and living costs",2024/25,3400000000,nao_estimate,,Home Office,nao-asylum-analysis-2025,"National Audit Office, An analysis of the asylum system",https://www.nao.org.uk/reports/an-analysis-of-the-asylum-system/,"National Audit Office copyright. Non-commercial reuse with acknowledgement. NOT Open Government Licence.","Actual 2024-25 cost, not a forecast."
direct_accommodation,"Direct spending on asylum accommodation","Somewhere to live",2024/25,2700000000,nao_estimate,accommodation_support,Home Office,nao-asylum-analysis-2025,"National Audit Office, An analysis of the asylum system",https://www.nao.org.uk/reports/an-analysis-of-the-asylum-system/,"National Audit Office copyright. Non-commercial reuse with acknowledgement. NOT Open Government Licence.","Hotels were 76% of the accommodation contract cost in the first seven months of 2024-25."
cash_support,"Cash support to people seeking asylum","Money to live on",2024/25,220000000,nao_estimate,accommodation_support,Home Office,nao-asylum-analysis-2025,"National Audit Office, An analysis of the asylum system",https://www.nao.org.uk/reports/an-analysis-of-the-asylum-system/,"National Audit Office copyright. Non-commercial reuse with acknowledgement. NOT Open Government Licence.","£9.95 a week if meals are provided, £49.18 if not."
la_dispersal_grants,"Grants to councils for dispersal accommodation","Payments to councils for housing",2024/25,247000000,nao_estimate,accommodation_support,Home Office,nao-asylum-analysis-2025,"National Audit Office, An analysis of the asylum system",https://www.nao.org.uk/reports/an-analysis-of-the-asylum-system/,"National Audit Office copyright. Non-commercial reuse with acknowledgement. NOT Open Government Licence.",
uasc_grants,"Grants and incentive payments to councils for unaccompanied children","Payments to councils for lone children",2024/25,636000000,nao_estimate,,Home Office,nao-asylum-analysis-2025,"National Audit Office, An analysis of the asylum system",https://www.nao.org.uk/reports/an-analysis-of-the-asylum-system/,"National Audit Office copyright. Non-commercial reuse with acknowledgement. NOT Open Government Licence.","Includes former unaccompanied children who have left care."
casework,"Asylum caseworking","Deciding the claims",2024/25,367000000,nao_estimate,,Home Office,nao-asylum-analysis-2025,"National Audit Office, An analysis of the asylum system",https://www.nao.org.uk/reports/an-analysis-of-the-asylum-system/,"National Audit Office copyright. Non-commercial reuse with acknowledgement. NOT Open Government Licence.","Staff costs and associated non-pay."
imiu,"Irregular Migration Intake Unit","Processing people on arrival",2024/25,75000000,nao_estimate,,Home Office,nao-asylum-analysis-2025,"National Audit Office, An analysis of the asylum system",https://www.nao.org.uk/reports/an-analysis-of-the-asylum-system/,"National Audit Office copyright. Non-commercial reuse with acknowledgement. NOT Open Government Licence.",
appeals,"Asylum appeals","Challenging a refusal",2024/25,102000000,nao_estimate,,Home Office and Ministry of Justice,nao-asylum-analysis-2025,"National Audit Office, An analysis of the asylum system",https://www.nao.org.uk/reports/an-analysis-of-the-asylum-system/,"National Audit Office copyright. Non-commercial reuse with acknowledgement. NOT Open Government Licence.","Home Office costing of £22m plus tribunal operating costs. Split across two departments."
detention_removals,"Asylum detention and removals","Detention and leaving the UK",2024/25,46000000,nao_estimate,,Home Office,nao-asylum-analysis-2025,"National Audit Office, An analysis of the asylum system",https://www.nao.org.uk/reports/an-analysis-of-the-asylum-system/,"National Audit Office copyright. Non-commercial reuse with acknowledgement. NOT Open Government Licence.",
ho_overheads,"Home Office overheads","Running the department",2024/25,160000000,nao_estimate,,Home Office,nao-asylum-analysis-2025,"National Audit Office, An analysis of the asylum system",https://www.nao.org.uk/reports/an-analysis-of-the-asylum-system/,"National Audit Office copyright. Non-commercial reuse with acknowledgement. NOT Open Government Licence.",
accommodation_transformation,"Accommodation Transformation Programme","Changing how housing is provided",2024/25,36600000,nao_estimate,,Home Office,nao-asylum-analysis-2025,"National Audit Office, An analysis of the asylum system",https://www.nao.org.uk/reports/an-analysis-of-the-asylum-system/,"National Audit Office copyright. Non-commercial reuse with acknowledgement. NOT Open Government Licence.",
iac_overheads,"Immigration and Asylum Chamber overheads","Running the tribunal",2024/25,51200000,nao_estimate,,Ministry of Justice,nao-asylum-analysis-2025,"National Audit Office, An analysis of the asylum system",https://www.nao.org.uk/reports/an-analysis-of-the-asylum-system/,"National Audit Office copyright. Non-commercial reuse with acknowledgement. NOT Open Government Licence.","Covers asylum and non-asylum appeals."
moj_legal_aid,"Legal aid for asylum and immigration appeals","Legal help",2024/25,22800000,nao_estimate,,Ministry of Justice,nao-asylum-analysis-2025,"National Audit Office, An analysis of the asylum system",https://www.nao.org.uk/reports/an-analysis-of-the-asylum-system/,"National Audit Office copyright. Non-commercial reuse with acknowledgement. NOT Open Government Licence.",
helpline,"Customer helpline","Answering questions",2024/25,8400000,nao_estimate,,Home Office,nao-asylum-analysis-2025,"National Audit Office, An analysis of the asylum system",https://www.nao.org.uk/reports/an-analysis-of-the-asylum-system/,"National Audit Office copyright. Non-commercial reuse with acknowledgement. NOT Open Government Licence.","Covers passport, asylum and visa operations together."
TOTAL,"Total Home Office and Ministry of Justice spending on asylum","Everything, added up",2024/25,4900000000,nao_estimate,,Home Office and Ministry of Justice,nao-asylum-analysis-2025,"National Audit Office, An analysis of the asylum system",https://www.nao.org.uk/reports/an-analysis-of-the-asylum-system/,"National Audit Office copyright. Non-commercial reuse with acknowledgement. NOT Open Government Licence.","The NAO's own stated total. Do not recompute it by summing the rows above: some are subcomponents and some costs sit outside the published breakdown."
